User Query,Action,Amount,Recipient
Send 9466 ZAR to savings,Transfer money,9466.0,savings
Transfer 7230 ZAR to my investment,Transfer money,7230.0,investment
I need to pay 540 ZAR for my rent,Pay bill,540.0,rent
How much money do I have?,Check balance,,
What is my current balance?,Check balance,,
How much money do I have?,Check balance,,
Send 1639 ZAR to savings,Transfer money,1639.0,savings
Apply for a loan of 9219 ZAR,Apply for loan,9219.0,
What is my loan balance?,Check loan,,
How much do I owe on my loan?,Check loan,,
Move 6853 ZAR to investment,Transfer money,6853.0,investment
Send 9071 ZAR to checking,Transfer money,9071.0,checking
Check my loan status,Check loan,,
Can I get a loan for 10057 ZAR?,Apply for loan,10057.0,
Send 4716 ZAR to investment,Transfer money,4716.0,investment
Send 2213 ZAR to investment,Transfer money,2213.0,investment
Send 4887 ZAR to savings,Transfer money,4887.0,savings
I want to borrow 37454 ZAR,Apply for loan,37454.0,
Pay my internet bill,Pay bill,901.0,internet
I want to send 8996 ZAR to David,Send money,8996.0,David
Transfer 9135 ZAR to Mike,Send money,9135.0,Mike
What is my current balance?,Check balance,,
What is my current balance?,Check balance,,
Pay my electricity bill,Pay bill,1553.0,electricity
Transfer 1706 ZAR to David,Send money,1706.0,David
Pay my electricity bill,Pay bill,1330.0,electricity
Send 7777 ZAR to David,Send money,7777.0,David
How much do I owe on my loan?,Check loan,,
Check my loan status,Check loan,,
Check my loan status,Check loan,,
I need to pay 1741 ZAR for my phone,Pay bill,1741.0,phone
Check my balance,Check balance,,
Pay my internet bill,Pay bill,4792.0,internet
How much do I owe on my loan?,Check loan,,
Check my loan status,Check loan,,
Pay my electricity bill,Pay bill,3569.0,electricity
Apply for a loan of 10101 ZAR,Apply for loan,10101.0,
How much do I owe on my loan?,Check loan,,
I need to pay 2177 ZAR for my water,Pay bill,2177.0,water
Transfer 823 ZAR to David,Send money,823.0,David
I want to borrow 18668 ZAR,Apply for loan,18668.0,
Check my loan status,Check loan,,
Move 9285 ZAR to savings,Transfer money,9285.0,savings
Transfer 8096 ZAR to my savings,Transfer money,8096.0,savings
Send 4697 ZAR to Jane,Send money,4697.0,Jane
Transfer 5512 ZAR to Sarah,Send money,5512.0,Sarah
Check my loan status,Check loan,,
Send 1383 ZAR to Emma,Send money,1383.0,Emma
Pay my water bill,Pay bill,180.0,water
Move 5692 ZAR to investment,Transfer money,5692.0,investment
I want to send 4191 ZAR to Jane,Send money,4191.0,Jane
How much do I owe on my loan?,Check loan,,
Transfer 5924 ZAR to my investment,Transfer money,5924.0,investment
What is my current balance?,Check balance,,
What is my loan balance?,Check loan,,
How much do I owe on my loan?,Check loan,,
What is my loan balance?,Check loan,,
Send 3612 ZAR to Emma,Send money,3612.0,Emma
Check my loan status,Check loan,,
Check my balance,Check balance,,
Transfer 1685 ZAR to my checking,Transfer money,1685.0,checking
What is my current balance?,Check balance,,
Send 8526 ZAR to savings,Transfer money,8526.0,savings
Can I get a loan for 14217 ZAR?,Apply for loan,14217.0,
Send 3336 ZAR to Jane,Send money,3336.0,Jane
Move 7701 ZAR to checking,Transfer money,7701.0,checking
Send 9093 ZAR to investment,Transfer money,9093.0,investment
How much money do I have?,Check balance,,
Transfer 3261 ZAR to Mike,Send money,3261.0,Mike
I need to pay 3999 ZAR for my phone,Pay bill,3999.0,phone
I want to borrow 5394 ZAR,Apply for loan,5394.0,
Send 114 ZAR to Jane,Send money,114.0,Jane
Send 3715 ZAR to Sarah,Send money,3715.0,Sarah
Can I get a loan for 37437 ZAR?,Apply for loan,37437.0,
Apply for a loan of 35883 ZAR,Apply for loan,35883.0,
How much money do I have?,Check balance,,
What is my loan balance?,Check loan,,
How much do I owe on my loan?,Check loan,,
Pay 4115 ZAR for rent,Pay bill,4115.0,rent
Send 7742 ZAR to Jane,Send money,7742.0,Jane
Can I get a loan for 6423 ZAR?,Apply for loan,6423.0,
Transfer 745 ZAR to my savings,Transfer money,745.0,savings
I want to send 8782 ZAR to Sarah,Send money,8782.0,Sarah
Check my loan status,Check loan,,
What is my current balance?,Check balance,,
Check my balance,Check balance,,
What is my current balance?,Check balance,,
I need to pay 3711 ZAR for my electricity,Pay bill,3711.0,electricity
What is my loan balance?,Check loan,,
Send 6462 ZAR to savings,Transfer money,6462.0,savings
What is my loan balance?,Check loan,,
Transfer 3108 ZAR to Jane,Send money,3108.0,Jane
Pay 3471 ZAR for electricity,Pay bill,3471.0,electricity
How much do I owe on my loan?,Check loan,,
I want to borrow 23969 ZAR,Apply for loan,23969.0,
Apply for a loan of 6877 ZAR,Apply for loan,6877.0,
I need to pay 4114 ZAR for my water,Pay bill,4114.0,water
Apply for a loan of 4811 ZAR,Apply for loan,4811.0,
Send 9084 ZAR to Emma,Send money,9084.0,Emma
I want to borrow 21968 ZAR,Apply for loan,21968.0,
Transfer 6745 ZAR to Jane,Send money,6745.0,Jane
Check my loan status,Check loan,,
Pay my internet bill,Pay bill,3661.0,internet
Move 7452 ZAR to savings,Transfer money,7452.0,savings
Can I get a loan for 7044 ZAR?,Apply for loan,7044.0,
Transfer 1701 ZAR to my checking,Transfer money,1701.0,checking
Pay 2883 ZAR for internet,Pay bill,2883.0,internet
What is my loan balance?,Check loan,,
Pay my electricity bill,Pay bill,2047.0,electricity
Send 777 ZAR to checking,Transfer money,777.0,checking
Can I get a loan for 8431 ZAR?,Apply for loan,8431.0,
I want to borrow 20900 ZAR,Apply for loan,20900.0,
I need to pay 4573 ZAR for my phone,Pay bill,4573.0,phone
How much money do I have?,Check balance,,
I want to borrow 7553 ZAR,Apply for loan,7553.0,
Apply for a loan of 30540 ZAR,Apply for loan,30540.0,
Check my loan status,Check loan,,
How much money do I have?,Check balance,,
Send 3149 ZAR to David,Send money,3149.0,David
Pay my water bill,Pay bill,1709.0,water
How much money do I have?,Check balance,,
Transfer 9453 ZAR to my checking,Transfer money,9453.0,checking
What is my loan balance?,Check loan,,
Check my balance,Check balance,,
Transfer 2851 ZAR to my savings,Transfer money,2851.0,savings
I want to borrow 28755 ZAR,Apply for loan,28755.0,
How much do I owe on my loan?,Check loan,,
How much do I owe on my loan?,Check loan,,
I need to pay 4302 ZAR for my rent,Pay bill,4302.0,rent
I want to send 6573 ZAR to John,Send money,6573.0,John
How much money do I have?,Check balance,,
I want to borrow 46245 ZAR,Apply for loan,46245.0,
Can I get a loan for 31548 ZAR?,Apply for loan,31548.0,
Pay 2322 ZAR for rent,Pay bill,2322.0,rent
How much do I owe on my loan?,Check loan,,
Can I get a loan for 16047 ZAR?,Apply for loan,16047.0,
Pay my phone bill,Pay bill,1037.0,phone
I want to borrow 37976 ZAR,Apply for loan,37976.0,
Move 6127 ZAR to savings,Transfer money,6127.0,savings
How much money do I have?,Check balance,,
Pay my water bill,Pay bill,434.0,water
I need to pay 2929 ZAR for my internet,Pay bill,2929.0,internet
Pay my phone bill,Pay bill,561.0,phone
Can I get a loan for 8310 ZAR?,Apply for loan,8310.0,
Check my balance,Check balance,,
Send 6623 ZAR to Jane,Send money,6623.0,Jane
Transfer 7179 ZAR to Mike,Send money,7179.0,Mike
Check my loan status,Check loan,,
Send 9462 ZAR to Emma,Send money,9462.0,Emma
What is my loan balance?,Check loan,,
Pay my water bill,Pay bill,994.0,water
Transfer 9930 ZAR to Emma,Send money,9930.0,Emma
What is my loan balance?,Check loan,,
Move 8714 ZAR to savings,Transfer money,8714.0,savings
I want to send 7489 ZAR to John,Send money,7489.0,John
Can I get a loan for 20035 ZAR?,Apply for loan,20035.0,
Move 4676 ZAR to checking,Transfer money,4676.0,checking
Transfer 3186 ZAR to my investment,Transfer money,3186.0,investment
Send 4893 ZAR to savings,Transfer money,4893.0,savings
Pay my electricity bill,Pay bill,703.0,electricity
What is my current balance?,Check balance,,
Check my balance,Check balance,,
Send 7498 ZAR to John,Send money,7498.0,John
Pay my water bill,Pay bill,4354.0,water
How much do I owe on my loan?,Check loan,,
How much do I owe on my loan?,Check loan,,
Move 4346 ZAR to investment,Transfer money,4346.0,investment
Apply for a loan of 6197 ZAR,Apply for loan,6197.0,
Apply for a loan of 27594 ZAR,Apply for loan,27594.0,
Can I get a loan for 8737 ZAR?,Apply for loan,8737.0,
Move 6815 ZAR to investment,Transfer money,6815.0,investment
Send 2349 ZAR to John,Send money,2349.0,John
Transfer 5584 ZAR to my savings,Transfer money,5584.0,savings
Pay 3632 ZAR for internet,Pay bill,3632.0,internet
Can I get a loan for 49910 ZAR?,Apply for loan,49910.0,
Check my balance,Check balance,,
I need to pay 4991 ZAR for my phone,Pay bill,4991.0,phone
Pay 2164 ZAR for rent,Pay bill,2164.0,rent
What is my current balance?,Check balance,,
I want to borrow 26999 ZAR,Apply for loan,26999.0,
How much do I owe on my loan?,Check loan,,
What is my loan balance?,Check loan,,
I want to send 5423 ZAR to John,Send money,5423.0,John
What is my current balance?,Check balance,,
What is my loan balance?,Check loan,,
What is my loan balance?,Check loan,,
Pay my electricity bill,Pay bill,167.0,electricity
Send 559 ZAR to David,Send money,559.0,David
I want to send 6818 ZAR to Emma,Send money,6818.0,Emma
I want to send 8328 ZAR to David,Send money,8328.0,David
How much do I owe on my loan?,Check loan,,
I want to borrow 29607 ZAR,Apply for loan,29607.0,
Transfer 4585 ZAR to my checking,Transfer money,4585.0,checking
How much money do I have?,Check balance,,
How much do I owe on my loan?,Check loan,,
I want to borrow 14865 ZAR,Apply for loan,14865.0,
Send 8995 ZAR to savings,Transfer money,8995.0,savings
I need to pay 836 ZAR for my phone,Pay bill,836.0,phone
Send 7150 ZAR to investment,Transfer money,7150.0,investment
I need to pay 2562 ZAR for my water,Pay bill,2562.0,water
Transfer 7322 ZAR to my checking,Transfer money,7322.0,checking
Move 2975 ZAR to savings,Transfer money,2975.0,savings
Apply for a loan of 38401 ZAR,Apply for loan,38401.0,
Check my balance,Check balance,,
Check my balance,Check balance,,
I want to send 9738 ZAR to David,Send money,9738.0,David
Transfer 3647 ZAR to my checking,Transfer money,3647.0,checking
Check my loan status,Check loan,,
Send 8305 ZAR to Jane,Send money,8305.0,Jane
Pay my electricity bill,Pay bill,2232.0,electricity
I want to borrow 7286 ZAR,Apply for loan,7286.0,
What is my loan balance?,Check loan,,
What is my current balance?,Check balance,,
Pay my electricity bill,Pay bill,4950.0,electricity
I want to borrow 47319 ZAR,Apply for loan,47319.0,
Transfer 9992 ZAR to David,Send money,9992.0,David
Check my loan status,Check loan,,
Send 7970 ZAR to John,Send money,7970.0,John
How much money do I have?,Check balance,,
Send 4542 ZAR to investment,Transfer money,4542.0,investment
What is my current balance?,Check balance,,
I want to send 8800 ZAR to Sarah,Send money,8800.0,Sarah
Move 8851 ZAR to checking,Transfer money,8851.0,checking
How much do I owe on my loan?,Check loan,,
What is my loan balance?,Check loan,,
Check my balance,Check balance,,
Transfer 4397 ZAR to Emma,Send money,4397.0,Emma
I want to send 1315 ZAR to Sarah,Send money,1315.0,Sarah
Apply for a loan of 8189 ZAR,Apply for loan,8189.0,
Can I get a loan for 40716 ZAR?,Apply for loan,40716.0,
I want to borrow 24997 ZAR,Apply for loan,24997.0,
Send 4867 ZAR to investment,Transfer money,4867.0,investment
Move 631 ZAR to investment,Transfer money,631.0,investment
Pay my internet bill,Pay bill,177.0,internet
How much do I owe on my loan?,Check loan,,
How much money do I have?,Check balance,,
I want to borrow 17607 ZAR,Apply for loan,17607.0,
Can I get a loan for 25952 ZAR?,Apply for loan,25952.0,
What is my loan balance?,Check loan,,
Pay my phone bill,Pay bill,407.0,phone
I want to borrow 40854 ZAR,Apply for loan,40854.0,
How much money do I have?,Check balance,,
I need to pay 4561 ZAR for my internet,Pay bill,4561.0,internet
Move 8436 ZAR to savings,Transfer money,8436.0,savings
Send 5489 ZAR to checking,Transfer money,5489.0,checking
Pay my electricity bill,Pay bill,3708.0,electricity
Transfer 7526 ZAR to John,Send money,7526.0,John
Check my loan status,Check loan,,
Check my balance,Check balance,,
Transfer 4879 ZAR to my checking,Transfer money,4879.0,checking
I want to send 8160 ZAR to Mike,Send money,8160.0,Mike
Transfer 4590 ZAR to my checking,Transfer money,4590.0,checking
What is my loan balance?,Check loan,,
Send 5442 ZAR to checking,Transfer money,5442.0,checking
How much do I owe on my loan?,Check loan,,
Transfer 1552 ZAR to my checking,Transfer money,1552.0,checking
How much money do I have?,Check balance,,
How much do I owe on my loan?,Check loan,,
Move 7994 ZAR to checking,Transfer money,7994.0,checking
I need to pay 666 ZAR for my electricity,Pay bill,666.0,electricity
How much do I owe on my loan?,Check loan,,
I need to pay 1849 ZAR for my internet,Pay bill,1849.0,internet
Check my loan status,Check loan,,
What is my current balance?,Check balance,,
Check my loan status,Check loan,,
What is my current balance?,Check balance,,
Send 5411 ZAR to savings,Transfer money,5411.0,savings
Check my loan status,Check loan,,
Check my balance,Check balance,,
Send 7759 ZAR to Jane,Send money,7759.0,Jane
Send 1176 ZAR to investment,Transfer money,1176.0,investment
Check my loan status,Check loan,,
Send 7447 ZAR to John,Send money,7447.0,John
Send 9772 ZAR to investment,Transfer money,9772.0,investment
I want to send 9625 ZAR to John,Send money,9625.0,John
What is my loan balance?,Check loan,,
Can I get a loan for 25463 ZAR?,Apply for loan,25463.0,
What is my current balance?,Check balance,,
How much do I owe on my loan?,Check loan,,
How much do I owe on my loan?,Check loan,,
Pay my phone bill,Pay bill,1487.0,phone
Can I get a loan for 28524 ZAR?,Apply for loan,28524.0,
Check my balance,Check balance,,
Can I get a loan for 1073 ZAR?,Apply for loan,1073.0,
Check my balance,Check balance,,
Transfer 3947 ZAR to my savings,Transfer money,3947.0,savings
Send 6327 ZAR to John,Send money,6327.0,John
Send 3128 ZAR to savings,Transfer money,3128.0,savings
Move 6867 ZAR to investment,Transfer money,6867.0,investment
Send 8711 ZAR to David,Send money,8711.0,David
What is my current balance?,Check balance,,
I need to pay 337 ZAR for my electricity,Pay bill,337.0,electricity
Send 1403 ZAR to David,Send money,1403.0,David
Check my balance,Check balance,,
Check my loan status,Check loan,,
Move 813 ZAR to checking,Transfer money,813.0,checking
What is my loan balance?,Check loan,,
Can I get a loan for 28033 ZAR?,Apply for loan,28033.0,
Transfer 650 ZAR to Jane,Send money,650.0,Jane
I want to send 4966 ZAR to John,Send money,4966.0,John
I need to pay 1360 ZAR for my internet,Pay bill,1360.0,internet
Pay my water bill,Pay bill,3310.0,water
I want to borrow 28658 ZAR,Apply for loan,28658.0,
Transfer 7346 ZAR to my savings,Transfer money,7346.0,savings
Transfer 6042 ZAR to my investment,Transfer money,6042.0,investment
Apply for a loan of 24266 ZAR,Apply for loan,24266.0,
Transfer 359 ZAR to my savings,Transfer money,359.0,savings
Apply for a loan of 40880 ZAR,Apply for loan,40880.0,
Can I get a loan for 29395 ZAR?,Apply for loan,29395.0,
Transfer 5121 ZAR to David,Send money,5121.0,David
Check my loan status,Check loan,,
What is my current balance?,Check balance,,
I want to borrow 16364 ZAR,Apply for loan,16364.0,
Apply for a loan of 9351 ZAR,Apply for loan,9351.0,
I want to send 1770 ZAR to Mike,Send money,1770.0,Mike
I want to borrow 5026 ZAR,Apply for loan,5026.0,
Send 2032 ZAR to savings,Transfer money,2032.0,savings
I want to send 9051 ZAR to David,Send money,9051.0,David
Move 9652 ZAR to checking,Transfer money,9652.0,checking
Transfer 2749 ZAR to Emma,Send money,2749.0,Emma
Transfer 3830 ZAR to my investment,Transfer money,3830.0,investment
Pay 2089 ZAR for internet,Pay bill,2089.0,internet
Pay my rent bill,Pay bill,2420.0,rent
Send 2466 ZAR to John,Send money,2466.0,John
How much do I owe on my loan?,Check loan,,
Transfer 6273 ZAR to my checking,Transfer money,6273.0,checking
Apply for a loan of 21719 ZAR,Apply for loan,21719.0,
I want to borrow 1029 ZAR,Apply for loan,1029.0,
I want to borrow 19948 ZAR,Apply for loan,19948.0,
What is my current balance?,Check balance,,
Transfer 221 ZAR to Sarah,Send money,221.0,Sarah
Apply for a loan of 32297 ZAR,Apply for loan,32297.0,
Move 8765 ZAR to savings,Transfer money,8765.0,savings
Can I get a loan for 10994 ZAR?,Apply for loan,10994.0,
What is my current balance?,Check balance,,
What is my loan balance?,Check loan,,
Send 6373 ZAR to checking,Transfer money,6373.0,checking
I want to send 3167 ZAR to John,Send money,3167.0,John
Send 6661 ZAR to David,Send money,6661.0,David
What is my current balance?,Check balance,,
Send 3970 ZAR to savings,Transfer money,3970.0,savings
I want to send 1472 ZAR to Emma,Send money,1472.0,Emma
Pay my phone bill,Pay bill,1349.0,phone
Apply for a loan of 17170 ZAR,Apply for loan,17170.0,
How much do I owe on my loan?,Check loan,,
Send 4976 ZAR to savings,Transfer money,4976.0,savings
I want to send 1802 ZAR to Sarah,Send money,1802.0,Sarah
Move 1123 ZAR to savings,Transfer money,1123.0,savings
Transfer 8390 ZAR to my investment,Transfer money,8390.0,investment
How much money do I have?,Check balance,,
Pay my electricity bill,Pay bill,260.0,electricity
Send 5155 ZAR to savings,Transfer money,5155.0,savings
Transfer 6916 ZAR to my checking,Transfer money,6916.0,checking
I want to send 9807 ZAR to John,Send money,9807.0,John
Transfer 4051 ZAR to my checking,Transfer money,4051.0,checking
I want to borrow 9310 ZAR,Apply for loan,9310.0,
I need to pay 2020 ZAR for my water,Pay bill,2020.0,water
What is my current balance?,Check balance,,
Pay my water bill,Pay bill,2136.0,water
I want to send 5169 ZAR to Mike,Send money,5169.0,Mike
How much do I owe on my loan?,Check loan,,
I need to pay 4437 ZAR for my electricity,Pay bill,4437.0,electricity
I want to borrow 14297 ZAR,Apply for loan,14297.0,
Pay 118 ZAR for phone,Pay bill,118.0,phone
Pay my water bill,Pay bill,2778.0,water
What is my current balance?,Check balance,,
I want to borrow 3671 ZAR,Apply for loan,3671.0,
I want to borrow 37123 ZAR,Apply for loan,37123.0,
Move 9584 ZAR to savings,Transfer money,9584.0,savings
Transfer 1443 ZAR to my checking,Transfer money,1443.0,checking
What is my loan balance?,Check loan,,
Transfer 8259 ZAR to Mike,Send money,8259.0,Mike
Pay my rent bill,Pay bill,714.0,rent
Check my loan status,Check loan,,
I want to borrow 2091 ZAR,Apply for loan,2091.0,
Pay my phone bill,Pay bill,3339.0,phone
Can I get a loan for 33979 ZAR?,Apply for loan,33979.0,
I want to borrow 16617 ZAR,Apply for loan,16617.0,
How much money do I have?,Check balance,,
Check my balance,Check balance,,
How much money do I have?,Check balance,,
Send 9742 ZAR to investment,Transfer money,9742.0,investment
I want to borrow 22296 ZAR,Apply for loan,22296.0,
Pay my water bill,Pay bill,3514.0,water
Pay my phone bill,Pay bill,2490.0,phone
Move 7704 ZAR to savings,Transfer money,7704.0,savings
I want to borrow 40994 ZAR,Apply for loan,40994.0,
Pay my internet bill,Pay bill,265.0,internet
I need to pay 4426 ZAR for my water,Pay bill,4426.0,water
Pay my internet bill,Pay bill,854.0,internet
How much do I owe on my loan?,Check loan,,
Apply for a loan of 45233 ZAR,Apply for loan,45233.0,
I want to send 1575 ZAR to John,Send money,1575.0,John
Send 849 ZAR to Jane,Send money,849.0,Jane
Check my loan status,Check loan,,
Check my balance,Check balance,,
Can I get a loan for 47191 ZAR?,Apply for loan,47191.0,
Transfer 9875 ZAR to John,Send money,9875.0,John
Check my balance,Check balance,,
Pay my water bill,Pay bill,3664.0,water
How much money do I have?,Check balance,,
Check my balance,Check balance,,
I want to borrow 33035 ZAR,Apply for loan,33035.0,
I need to pay 1241 ZAR for my internet,Pay bill,1241.0,internet
Transfer 2476 ZAR to Emma,Send money,2476.0,Emma
Transfer 2315 ZAR to Sarah,Send money,2315.0,Sarah
Pay my internet bill,Pay bill,4783.0,internet
Send 3479 ZAR to checking,Transfer money,3479.0,checking
Can I get a loan for 11951 ZAR?,Apply for loan,11951.0,
How much money do I have?,Check balance,,
How much do I owe on my loan?,Check loan,,
Pay 1973 ZAR for water,Pay bill,1973.0,water
I need to pay 2436 ZAR for my rent,Pay bill,2436.0,rent
Apply for a loan of 44341 ZAR,Apply for loan,44341.0,
What is my current balance?,Check balance,,
I need to pay 792 ZAR for my electricity,Pay bill,792.0,electricity
Send 139 ZAR to David,Send money,139.0,David
Pay my electricity bill,Pay bill,280.0,electricity
Can I get a loan for 41360 ZAR?,Apply for loan,41360.0,
Check my loan status,Check loan,,
Check my balance,Check balance,,
Pay 2447 ZAR for rent,Pay bill,2447.0,rent
Move 2165 ZAR to investment,Transfer money,2165.0,investment
Send 6305 ZAR to John,Send money,6305.0,John
Send 1837 ZAR to John,Send money,1837.0,John
How much money do I have?,Check balance,,
How much money do I have?,Check balance,,
What is my loan balance?,Check loan,,
Pay my rent bill,Pay bill,327.0,rent
I want to send 3841 ZAR to David,Send money,3841.0,David
Pay my phone bill,Pay bill,2107.0,phone
I want to send 8678 ZAR to John,Send money,8678.0,John
Transfer 6136 ZAR to David,Send money,6136.0,David
Transfer 1753 ZAR to my investment,Transfer money,1753.0,investment
Check my loan status,Check loan,,
Pay my electricity bill,Pay bill,1785.0,electricity
Apply for a loan of 39370 ZAR,Apply for loan,39370.0,
Move 7901 ZAR to savings,Transfer money,7901.0,savings
Transfer 8881 ZAR to John,Send money,8881.0,John
Pay my phone bill,Pay bill,155.0,phone
What is my current balance?,Check balance,,
I want to send 9833 ZAR to Sarah,Send money,9833.0,Sarah
Apply for a loan of 17010 ZAR,Apply for loan,17010.0,
I need to pay 4648 ZAR for my rent,Pay bill,4648.0,rent
Can I get a loan for 41590 ZAR?,Apply for loan,41590.0,
Send 9215 ZAR to David,Send money,9215.0,David
Pay my internet bill,Pay bill,1107.0,internet
Transfer 8025 ZAR to John,Send money,8025.0,John
Transfer 7055 ZAR to Emma,Send money,7055.0,Emma
Check my loan status,Check loan,,
Pay 1647 ZAR for electricity,Pay bill,1647.0,electricity
Transfer 9039 ZAR to my investment,Transfer money,9039.0,investment
Send 3768 ZAR to savings,Transfer money,3768.0,savings
Check my loan status,Check loan,,
Can I get a loan for 49326 ZAR?,Apply for loan,49326.0,
I want to borrow 19284 ZAR,Apply for loan,19284.0,
How much money do I have?,Check balance,,
Transfer 7476 ZAR to Mike,Send money,7476.0,Mike
Can I get a loan for 36320 ZAR?,Apply for loan,36320.0,
Pay 203 ZAR for internet,Pay bill,203.0,internet
What is my loan balance?,Check loan,,
Pay my internet bill,Pay bill,4953.0,internet
How much money do I have?,Check balance,,
Send 9633 ZAR to savings,Transfer money,9633.0,savings
How much do I owe on my loan?,Check loan,,
How much money do I have?,Check balance,,
What is my loan balance?,Check loan,,
Send 7986 ZAR to savings,Transfer money,7986.0,savings
Transfer 2282 ZAR to John,Send money,2282.0,John
What is my current balance?,Check balance,,
Send 1988 ZAR to savings,Transfer money,1988.0,savings
I need to pay 2412 ZAR for my internet,Pay bill,2412.0,internet
Check my balance,Check balance,,
Pay my water bill,Pay bill,166.0,water
Can I get a loan for 33910 ZAR?,Apply for loan,33910.0,
Send 9028 ZAR to David,Send money,9028.0,David
I want to send 5467 ZAR to John,Send money,5467.0,John
Check my balance,Check balance,,
How much money do I have?,Check balance,,
Transfer 284 ZAR to Emma,Send money,284.0,Emma
Pay my phone bill,Pay bill,3454.0,phone
Pay 4233 ZAR for water,Pay bill,4233.0,water
I want to send 6509 ZAR to David,Send money,6509.0,David
Send 3864 ZAR to John,Send money,3864.0,John
Can I get a loan for 42545 ZAR?,Apply for loan,42545.0,
I need to pay 294 ZAR for my electricity,Pay bill,294.0,electricity
How much do I owe on my loan?,Check loan,,
I want to borrow 31696 ZAR,Apply for loan,31696.0,
I want to borrow 23047 ZAR,Apply for loan,23047.0,
Can I get a loan for 30542 ZAR?,Apply for loan,30542.0,
What is my current balance?,Check balance,,
I want to borrow 11488 ZAR,Apply for loan,11488.0,
I want to borrow 11937 ZAR,Apply for loan,11937.0,
How much do I owe on my loan?,Check loan,,
What is my loan balance?,Check loan,,
What is my loan balance?,Check loan,,
Move 5803 ZAR to savings,Transfer money,5803.0,savings
Send 9030 ZAR to checking,Transfer money,9030.0,checking
Transfer 3979 ZAR to my checking,Transfer money,3979.0,checking
Pay my rent bill,Pay bill,497.0,rent
I want to send 6171 ZAR to Emma,Send money,6171.0,Emma
How much money do I have?,Check balance,,
Transfer 5575 ZAR to my savings,Transfer money,5575.0,savings
Apply for a loan of 14968 ZAR,Apply for loan,14968.0,
I need to pay 557 ZAR for my electricity,Pay bill,557.0,electricity
Can I get a loan for 32274 ZAR?,Apply for loan,32274.0,
Transfer 2231 ZAR to my checking,Transfer money,2231.0,checking
Send 7231 ZAR to Sarah,Send money,7231.0,Sarah
Send 9036 ZAR to Mike,Send money,9036.0,Mike
Pay 4665 ZAR for electricity,Pay bill,4665.0,electricity
Apply for a loan of 20577 ZAR,Apply for loan,20577.0,
I need to pay 1180 ZAR for my phone,Pay bill,1180.0,phone
What is my current balance?,Check balance,,
Pay my internet bill,Pay bill,1987.0,internet
Check my balance,Check balance,,
What is my current balance?,Check balance,,
Move 8984 ZAR to checking,Transfer money,8984.0,checking
Send 5858 ZAR to John,Send money,5858.0,John
Can I get a loan for 24403 ZAR?,Apply for loan,24403.0,
Check my loan status,Check loan,,
How much do I owe on my loan?,Check loan,,
How much do I owe on my loan?,Check loan,,
How much do I owe on my loan?,Check loan,,
Check my loan status,Check loan,,
Pay 536 ZAR for internet,Pay bill,536.0,internet
I want to borrow 37424 ZAR,Apply for loan,37424.0,
I want to send 1464 ZAR to Mike,Send money,1464.0,Mike
Pay 2682 ZAR for rent,Pay bill,2682.0,rent
What is my current balance?,Check balance,,
Transfer 5749 ZAR to my checking,Transfer money,5749.0,checking
Check my loan status,Check loan,,
I need to pay 4932 ZAR for my phone,Pay bill,4932.0,phone
Check my balance,Check balance,,
What is my current balance?,Check balance,,
Send 2353 ZAR to savings,Transfer money,2353.0,savings
Apply for a loan of 36574 ZAR,Apply for loan,36574.0,
Transfer 3945 ZAR to my savings,Transfer money,3945.0,savings
Transfer 2989 ZAR to my checking,Transfer money,2989.0,checking
Can I get a loan for 47061 ZAR?,Apply for loan,47061.0,
Transfer 5109 ZAR to my savings,Transfer money,5109.0,savings
I want to send 7022 ZAR to Jane,Send money,7022.0,Jane
I want to send 8372 ZAR to Emma,Send money,8372.0,Emma
Can I get a loan for 1916 ZAR?,Apply for loan,1916.0,
Can I get a loan for 8176 ZAR?,Apply for loan,8176.0,
What is my current balance?,Check balance,,
I need to pay 3583 ZAR for my water,Pay bill,3583.0,water
I want to send 9831 ZAR to Sarah,Send money,9831.0,Sarah
I want to borrow 1755 ZAR,Apply for loan,1755.0,
Check my loan status,Check loan,,
Transfer 2409 ZAR to my investment,Transfer money,2409.0,investment
Can I get a loan for 34989 ZAR?,Apply for loan,34989.0,
Move 3305 ZAR to investment,Transfer money,3305.0,investment
What is my current balance?,Check balance,,
Transfer 3742 ZAR to David,Send money,3742.0,David
I need to pay 4875 ZAR for my electricity,Pay bill,4875.0,electricity
Check my loan status,Check loan,,
Transfer 4663 ZAR to David,Send money,4663.0,David
Send 861 ZAR to Emma,Send money,861.0,Emma
Transfer 7159 ZAR to my investment,Transfer money,7159.0,investment
Pay 3051 ZAR for electricity,Pay bill,3051.0,electricity
I want to send 6002 ZAR to Jane,Send money,6002.0,Jane
What is my loan balance?,Check loan,,
Send 4680 ZAR to John,Send money,4680.0,John
Send 8970 ZAR to Sarah,Send money,8970.0,Sarah
Send 858 ZAR to investment,Transfer money,858.0,investment
I want to send 1133 ZAR to Sarah,Send money,1133.0,Sarah
Pay 1338 ZAR for internet,Pay bill,1338.0,internet
I want to send 4629 ZAR to Sarah,Send money,4629.0,Sarah
Pay 809 ZAR for internet,Pay bill,809.0,internet
How much do I owe on my loan?,Check loan,,
Send 116 ZAR to savings,Transfer money,116.0,savings
Transfer 6719 ZAR to Sarah,Send money,6719.0,Sarah
Check my balance,Check balance,,
Can I get a loan for 18186 ZAR?,Apply for loan,18186.0,
I want to send 4489 ZAR to John,Send money,4489.0,John
